id_veicolo,commerciale,eta_approx,genere
22364,N,58,M
22365,N,70,M
22366,S,0,_
22367,N,50,F
22368,N,68,M
22369,N,39,M
22370,N,66,M
22371,S,0,_
22372,S,0,_
22373,N,68,M
22374,N,57,F
22375,N,38,M
22376,N,48,F
22377,N,75,M
22378,N,42,F
22379,N,33,F
22380,N,74,F
22381,N,59,M
22382,N,71,M
22383,N,67,M
22384,N,27,M
22385,N,58,F
22386,N,32,M
22387,S,0,_
22388,N,60,F
22389,N,69,M
22390,N,65,F
22391,N,65,F
22392,N,57,M
22393,S,0,_
22394,N,45,M
22395,N,53,M
22396,N,66,M
22397,N,61,M
22398,N,41,M
22399,N,71,M
22400,N,65,M
22401,N,51,M
22402,N,47,F
22403,N,69,M
22404,N,82,F
22405,N,46,M
22406,N,74,F
22407,N,71,F
22408,N,75,M
22409,S,0,_
22410,N,70,M
22411,S,0,_
22412,N,54,M
22413,N,56,F
22414,S,0,_
22415,N,77,F
22416,N,68,F
22417,N,69,M
22418,N,49,M
22419,S,0,_
22420,N,67,M
22421,N,63,F
22422,N,58,F
22423,N,60,M
22424,N,63,F
22425,N,42,F
22426,N,52,M
22427,N,42,M
22428,N,57,M
22429,N,48,F
22430,N,51,M
22431,N,29,M
22432,N,65,M
22433,N,71,M
22434,N,29,F
22435,N,41,M
22436,N,60,F
22437,N,63,M
22438,N,74,M
22439,N,69,F
22440,N,53,F
22441,N,65,M
22442,N,79,M
22443,N,74,M
22444,S,0,_
22445,N,68,M
22446,S,0,_
22447,N,70,M
22448,N,66,F
22449,N,39,F
22450,S,0,_
22451,N,52,F
22452,N,45,M
22453,N,62,F
22454,N,60,F
22455,N,72,F
22456,N,64,M
22457,N,72,F
22458,S,0,_
22459,N,57,F
22460,N,76,F
22461,N,76,F
22462,N,77,M
22463,N,65,M
22464,N,40,M
22465,N,23,F
22466,N,52,F
22467,N,81,M
22468,N,77,F
22469,S,0,_
22470,S,0,_
22471,S,0,_
22472,N,31,F
22473,N,56,F
22474,N,57,M
22475,N,56,F
22476,N,50,M
22477,N,62,M
22478,N,77,M
22479,S,0,_
22480,N,60,F
22481,N,61,M
22482,S,0,_
22483,N,66,F
22484,N,81,M
22485,N,58,F
22486,N,57,M
22487,N,65,M
22488,N,75,M
22489,N,76,M
22490,N,41,M
22491,N,28,M
22492,N,53,M
22493,N,60,M
22494,N,55,M
22495,N,75,M
22496,N,38,F
22497,N,66,M
22498,N,72,M
22499,N,67,M
22500,N,72,M
22501,N,29,F
22502,N,78,M
22503,N,41,M
22504,N,72,F
22505,N,49,F
22506,N,70,F
22507,N,54,F
22508,N,56,M
22509,N,67,F
22510,N,77,F
22511,N,57,F
22512,N,33,F
22513,N,65,M
22514,N,54,M
22515,N,46,M
22516,N,56,F
22517,N,25,F
22518,N,58,F
22519,N,62,F
22520,N,72,M
22521,N,72,F
22522,N,60,M
22523,S,0,_
22524,N,69,F
22525,N,40,M
22526,N,36,M
22527,N,37,M
22528,N,68,F
22529,N,75,M
22530,N,60,F
22531,S,0,_
22532,N,59,F
22533,N,70,F
22534,N,36,F
22535,N,69,F
22536,N,53,M
22537,N,60,F
22538,N,67,F
22539,N,70,F
22540,N,47,F
22541,N,54,F
22542,N,80,M
22543,N,70,M
22544,N,54,F
22545,N,27,M
22546,N,54,F
22547,N,65,M
22548,N,55,M
22549,N,62,F
22550,N,55,F
22551,N,62,F
22552,N,38,F
22553,N,52,M
22554,N,65,M
22555,N,34,M
22556,N,66,F
22557,N,69,F
22558,N,73,M
22559,N,70,F
22560,N,55,M
22561,S,0,_
22562,N,33,M
22563,N,81,F
22564,N,58,F
22565,N,57,M
22566,N,78,F
22567,N,85,M
22568,N,78,M
22569,N,31,M
22570,N,30,F
22571,N,55,M
22572,S,0,_
22573,S,0,_
22574,N,78,F
22575,N,52,F
22576,N,25,F
22577,N,56,M
22578,N,27,M
22579,N,49,M
22580,N,62,M
22581,S,0,_
22582,N,54,F
22583,N,80,M
22584,N,50,M
22585,N,42,M
22586,N,73,M
22587,N,60,M
22588,N,61,F
22589,N,61,F
22590,N,72,M
22591,S,0,_
22592,N,34,F
22593,N,60,M
22594,N,27,F
22595,N,85,M
22596,N,71,M
22597,N,66,M
22598,N,66,F
22599,N,84,M
22600,S,0,_
22601,N,57,F
22602,N,76,M
22603,N,40,M
22604,N,52,M
22605,N,47,M
22606,N,79,F
22607,N,63,F
22608,N,53,M
22609,N,44,F
22610,N,65,F
22611,N,55,F
22612,N,86,F
22613,N,37,M
22614,N,63,M
22615,N,61,F
22616,S,0,_
22617,N,37,M
22618,N,67,F
22619,S,0,_
22620,N,74,M
22621,N,34,M
22622,N,42,F
22623,N,59,F
22624,N,59,F
22625,N,59,F
22626,N,72,M
22627,N,61,F
22628,N,53,M
22629,N,84,F
22630,N,58,F
22631,N,62,M
22632,N,38,F
22633,N,35,M
22634,N,53,M
22635,S,0,_
22636,N,33,F
22637,N,37,M
22638,N,61,M
22639,S,0,_
22640,N,44,M
22641,N,31,M
22642,N,61,M
22643,N,51,F
22644,N,68,M
22645,N,43,F
22646,N,63,M
22647,N,62,F
22648,N,54,F
22649,N,59,M
22650,N,82,M
22651,N,68,M
22652,N,76,M
22653,N,55,F
22654,N,82,M
22655,N,73,M
22656,N,51,M
22657,N,34,M
22658,N,50,M
22659,N,78,F
22660,S,0,_
22661,N,75,M
22662,N,57,F
22663,N,46,M
22664,N,79,M
22665,N,57,M
22666,N,70,M
22667,N,75,M
22668,N,65,M
22669,N,25,M
22670,N,68,F
22671,N,73,M
22672,N,59,M
22673,N,58,F
22674,N,64,F
22675,N,73,M
22676,N,52,F
22677,N,24,M
22678,S,0,_
22679,N,60,F
22680,S,0,_
22681,N,68,M
22682,N,45,F
22683,N,39,M
22684,N,60,F
22685,S,0,_
22686,S,0,_
22687,N,68,F
22688,N,61,F
22689,N,22,M
22690,N,58,M
22691,S,0,_
22692,N,53,F
22693,N,62,M
22694,N,55,M
22695,N,46,M
22696,N,76,F
22697,N,82,F
22698,N,35,F
22699,N,66,M
22700,N,71,M
22701,N,27,F
22702,N,57,M
22703,N,80,M
22704,N,55,F
22705,N,76,M
22706,N,67,M
22707,N,68,F
22708,N,33,M
22709,N,45,F
22710,N,58,F
22711,S,0,_
22712,S,0,_
22713,N,59,M
22714,N,49,M
22715,N,59,F
22716,N,69,M
22717,N,54,F
22718,N,32,M
22719,S,0,_
22720,N,48,M
22721,N,37,M
22722,N,64,F
22723,N,70,M
22724,N,57,F
22725,N,67,M
22726,N,59,M
22727,N,57,M
22728,N,66,M
22729,N,62,M
22730,N,85,F
22731,N,80,M
22732,N,73,F
22733,N,68,M
22734,N,68,F
22735,N,52,F
22736,N,78,F
22737,N,57,M
22738,N,38,F
22739,S,0,_
22740,N,46,M
22741,N,49,M
22742,N,64,F
22743,S,0,_
22744,N,40,M
22745,N,66,F
22746,N,39,M
22747,N,25,F
22748,N,79,M
22749,N,53,F
22750,N,28,F
22751,N,34,M
22752,N,31,M
22753,N,21,F
22754,N,64,F
22755,N,85,M
22756,N,72,M
22757,N,56,F
22758,N,81,F
22759,N,51,F
22760,N,60,F
22761,N,53,M
22762,N,54,F
22763,S,0,_
22764,N,37,F
22765,N,66,M
22766,S,0,_
22767,N,38,F
22768,N,36,M
22769,N,46,M
22770,N,51,M
22771,N,63,M
22772,N,57,F
22773,N,66,M
22774,N,60,M
22775,N,60,F
22776,S,0,_
22777,N,55,M
22778,N,74,M
22779,N,48,M
22780,N,29,M
22781,N,59,M
22782,N,24,M
22783,N,60,M
22784,N,22,M
22785,N,75,M
22786,N,43,F
22787,N,51,F
22788,N,55,F
22789,N,47,M
22790,N,70,M
22791,N,55,M
22792,N,67,M
22793,S,0,_
22794,N,67,F
22795,N,37,M
22796,N,74,M
